Kode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
PDtot,"1517,48","1678,89","1944,59","2166,93","3081,37","3659,22","3393,9","3898,11","4099,95","4138,87","3924,51","4203,48","4766,44","5099,25","5384,61"
PAD,"318,73","372,84","525,85","608,96","992,15","1305,18","1332,55","1483,71","1649,4","1749,4","1686,39","2014,71","2360,63","2381,14","2484,33"
PjD,"238,8","286,22","436,73","501,72","822,08","1063,44","1063,44","1155,99",1315,"1450,5","1298,04","1635,76","1878,86","1882,28","2125,3"
RtD,"60,27","67,96","70,3","84,84","115,27","145,97","94,68","133,45","133,22","128,1","171,2","174,95","222,78","257,54","239,38"
HsKD,"6,12","6,79","6,9","11,38","13,33","14,42","30,58","45,29","46,65","47,05","88,1","88,1","88,1","88,27","51,03"
LainPAD,"13,54","11,87","11,92","11,01","41,46","81,35","143,85","148,99","154,54","123,76","129,05","115,9","170,89","153,06","68,62"
TKDD,"915,05","1080,12","1148,04","1249,54","1326,42","1996,36","1845,07","1945,65","1973,93","1920,01","1699,26","1807,12","1958,66","2174,66","2442,28"
PDTrf,"915,05","1080,12","1148,04","1249,54","1326,42","1996,36","1845,07","1945,65","1973,93","1920,01","1699,26","1807,12","1958,66","2174,66","2442,28"
PDtrAD,0,0,0,0,0,"357,68","216,29","335,94","343,82","336,65","356,46","356,46","420,2","516,5",458
0,"915,05","1080,12","1148,04","1249,54","1326,42",0,0,0,0,0,0,0,0,0,0
0,"135,35","136,35","73,57","69,89","95,85",0,0,0,0,0,0,0,0,0,0
0,"718,8","911,12","1033,58","1114,85","1198,87",0,0,0,0,0,0,0,0,0,0
0,"60,9","32,64","40,89","64,79","31,7",0,0,0,0,0,0,0,0,0,0
PDLain1,"283,7","225,92","270,7","308,43","762,8","357,68","216,29","468,74","476,62","469,46","538,86","381,65","447,15","543,45",458
Hbh,"0,5",0,0,0,"4,5",0,0,"132,8","132,8","132,8",36,0,0,0,0
PDLain2,0,0,0,0,0,0,0,0,0,0,"146,41","25,2","26,95","26,95",0
BgHProv,"157,05","167,25","185,67","248,37","296,54",0,0,0,0,0,0,0,0,0,0
Otsus,"88,8","20,69","24,96",0,"399,6",0,0,0,0,0,0,0,0,0,0
BtKeu,"37,35","37,99","60,07","60,06","62,16",0,0,0,0,0,0,0,0,0,0
PDLain3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belanja,"1588,05","1768,53","2072,66","2381,72","3324,37",0,0,0,0,0,0,0,0,0,0
BTL,"797,66","809,45","937,8","912,43","1368,86",0,0,0,0,0,0,0,0,0,0
BPgTL,"709,13","772,4","827,81","885,93","1334,35",0,0,0,0,0,0,0,0,0,0
BL,"790,39","959,08","1134,86","1469,29","1955,51",0,0,0,0,0,0,0,0,0,0
BBung,"8,45","8,45","44,34","2,03","2,5","1,25","0,8",0,0,0,0,0,0,0,0
Bsub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPgL,"206,49","149,06","192,15","191,58","169,04",0,0,0,0,0,0,0,0,0,0
BBrJasa,"395,48","533,58","620,87","756,38","1088,81","1333,22","1460,04","1689,57","1679,3","1666,23","1695,54","1900,9","2150,7","2061,8","2019,47"
BlDa,0,0,0,0,0,"3825,22","3816,11","4117,59","4262,95","4217,87","4222,83","4962,27","5648,48","5775,9","5684,61"
BPeg,0,0,0,0,0,"1684,15","1546,06","1361,31","1376,18","1491,04","1484,44","1377,03","1484,02","1675,92","1952,83"
Bmod,"188,42","276,43","321,84","521,33","697,66","775,72","712,89","869,41","1123,95","843,39","881,63","1423,97","1809,87","1715,09","1477,11"
Blain,0,0,0,0,0,"32,12","97,12","197,3","83,52","217,21","161,22","260,37","203,89","323,08","235,19"
BBH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhibah,"50,28","18,29","60,9","17,55","23,92","20,78","70,22","146,65","58,96",186,"110,46","153,23","168,83","298,08","195,19"
BBSos,"27,8","5,55",0,"1,15",0,0,0,0,0,0,"0,76","7,14","5,06",0,0
BBKeu,0,"0,76","0,76","0,76","1,1","5,1","1,1","1,09","1,09","1,22",0,0,0,0,0
BTT,2,4,4,5,7,5,25,"49,56","23,46",30,50,100,30,25,40
PebDa,"88,62","153,6","166,01","245,11",267,166,"422,21",0,163,79,"298,32","758,78","882,04",0,0
PenBy,"79,59","121,62","147,04","229,95",255,170,"426,21","219,48",215,80,"303,32","766,28","892,04","676,65",300
SilPA,"79,54","121,62","123,68","229,95",255,170,"316,22","219,48",215,80,"303,32","766,28","892,04","676,65",300
DnCad,0,0,"23,36",0,0,0,0,0,0,0,0,0,0,0,0
JKyD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PnPjDa,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0
PeKemP,"0,05",0,0,0,0,0,"109,99",0,0,0,0,0,0,0,0
PePbyLain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PengBiaya,"-9,03","-31,98","-18,97","-15,16",-12,4,4,0,52,1,5,"7,5",10,0,0
PemDanCad,0,-23,0,0,0,0,0,0,0,0,0,0,0,0,0
PyrtMo,"-0,05",0,0,0,0,0,0,0,52,1,5,"7,5",10,0,0
PbPoUtang,"-8,98","-8,98","-18,97","-15,16",-12,4,4,0,0,0,0,0,0,0,0
