Uraian,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A. Pendapatan Negara,495224.2,637987.1,707806.1,981609.4,848763.2,995271.5,1210599.7,1338109.5,1438891.1,1550490.8,1508020.4,1555934.3,1666375.9,1943674.9,1960641.0,1647783.3,2011347.1,2635843.0,2783929.7,2842478.0,3005127.7
I. Penerimaan Dalam Negeri,493919.4,636153.0,706108.4,979305.4,847096.6,992248.5,1205345.7,1332322.8,1432058.6,1545456.3,1496047.3,1546946.6,1654746.1,1928110.0,1955141.0,1628950.5,2006334.0,2630147.0,2766745.5,2812187.1,3004546.6
1. Penerimaan Perpajakan,347031.0,409203.0,490988.6,658700.8,619922.2,723306.7,873873.9,980518.0,1077306.7,1146865.8,1240418.9,1284970.1,1343529.8,1518789.8,1546141.0,1285136.3,1547841.1,2034552.4,2154208.2,2232666.0,2490911.6
a. Pendapatan Pajak Dalam Negeri,331791.9,395971.5,470051.8,622358.7,601251.8,694392.1,819752.4,930861.7,1029850.1,1103217.6,1205478.9,1249499.5,1304316.3,1472908.0,1505090.0,1248415.1,1474145.7,1943654.8,2089718.3,2158808.3,2433505.6
    i. Pendapatan Pajak Penghasilan,175541.2,208833.1,238430.9,327497.7,317615.0,357045.5,431121.7,465069.5,506442.8,546180.9,602308.1,657162.7,637859.3,739864.9,772300.0,594033.3,696676.6,998213.8,1061234.0,1062693.3,1209278.9
    ii. Pendapatan Pajak Pertambahan Nilai dan PPnBM,101295.8,123035.9,154526.8,209647.4,193067.5,230604.9,277800.1,337584.6,384713.5,409181.6,423710.8,412213.5,480724.6,537267.9,531600.0,450328.1,551900.5,687609.5,763632.7,828505.9,945120.6
    iii. Pendapatan Pajak Bumi dan Bangunan,16216.7,20858.5,23723.5,25354.3,24270.2,28580.6,29893.2,28968.9,25304.6,23476.2,29250.0,19443.2,16770.3,19444.9,21100.0,20953.6,18924.8,23264.7,33270.7,32493.7,27111.8
    iv. Pendapatan BPHTB,3431.9,3184.5,5953.4,5573.1,6464.5,8026.4,-0.7,0.0,0.0,0.0,0.3,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    v. Pendapatan Pajak lainnya,2050.2,2287.4,2737.7,3034.4,3116.0,3968.8,3928.2,4210.9,4937.1,6293.4,5568.3,17154.5,15672.6,16741.6,7700.0,6790.8,11126.0,7686.1,9729.8,8744.1,7795.9
    vi. Pendapatan Cukai,33256.2,37772.1,44679.5,51251.8,56718.5,66165.9,77010.0,95027.9,108452.1,118085.5,144641.3,143525.0,153288.1,159588.6,172390.0,176309.3,195517.8,226880.8,221851.1,226371.3,244198.4
b. Pendapatan Pajak Perdagangan Internasional,15239.1,13231.5,20936.8,36342.1,18670.4,28914.5,54121.5,49656.3,47456.6,43648.1,34940.0,35470.7,39213.6,45881.8,41051.0,36721.2,73695.4,90897.7,64489.9,73857.7,57406.0
i. Bea Masuk,14920.9,12140.4,16699.4,22763.8,18105.5,20016.8,25265.9,28418.4,31621.3,32319.1,31212.8,32472.1,35066.2,39116.7,37514.0,32443.5,39122.7,51077.7,50891.8,52965.3,52935.4
ii. Bea Keluar,318.2,1091.1,4237.4,13578.3,565.0,8897.7,28855.6,21237.9,15835.4,11329.0,3727.1,2998.6,4147.4,6765.1,3537.0,4277.7,34572.7,39819.9,13598.2,20892.4,4470.6
2. Penerimaan Negara Bukan Pajak,146888.4,226950.0,215119.7,320604.6,227174.4,268941.9,331471.8,351804.7,354751.9,398590.5,255628.5,261976.4,311216.3,409320.2,409000.0,343814.2,458493.0,595594.6,612537.3,579521.1,513635.0
a. Penerimaan SDA,110467.3,167473.7,132892.6,224463.0,138959.2,168825.4,213823.4,225844.0,226406.2,240848.3,100971.9,64901.9,111132.0,180592.6,154900.0,97225.1,149489.4,268770.9,254203.0,229220.8,217964.2
i. Penerimaan SDA Migas,103762.0,158086.1,124783.7,211617.0,125752.0,152733.2,193490.6,205823.5,203629.4,216876.1,78170.5,44093.8,81842.9,142789.2,121100.0,69080.2,96616.4,148698.9,116178.6,110916.9,120993.0
a) Pendapatan Minyak bumi,72822.3,125145.4,93604.5,169022.2,90056.0,111814.9,141303.5,144717.1,135329.2,139174.3,47987.4,31448.0,58203.0,101486.7,83600.0,44868.8,64998.8,111992.9,87408.9,85879.9,89031.6
b) Pendapatan Gas alam,30939.8,32940.7,31179.2,42594.7,35696.0,40918.3,52187.1,61106.4,68300.2,77701.8,30183.0,12645.7,23639.9,41302.6,37500.0,24211.3,31617.6,36705.9,28769.7,25037.1,31961.4
ii. Penerimaan SDA NonMigas,6705.3,9387.6,8108.9,12846.0,13207.3,16092.2,20332.8,20020.5,22776.8,23972.2,22801.4,20808.2,29289.1,37803.4,33800.0,28144.9,52873.0,120072.0,138024.5,118303.9,96971.2
a) Pendapatan Pertambangan Mineral dan Batubara,3190.5,6781.3,5877.9,9511.3,10369.4,12646.8,16369.8,15877.4,18620.5,19300.4,17683.0,15756.8,23763.2,30313.7,26335.0,21179.0,44835.4,110786.8,129126.8,107775.0,87482.1
b) Pendapatan Kehutanan,3249.4,2409.4,2114.8,2315.5,2345.4,3009.7,3216.5,3188.3,3060.4,3699.9,4156.5,3757.0,4101.9,4760.4,5035.0,4403.3,5400.3,5804.1,5429.6,6739.0,5671.7
c) Pendapatan Perikanan,265.4,196.9,116.3,77.8,92.0,92.0,183.8,215.8,229.4,216.4,79.3,362.1,491.0,448.8,500.0,600.7,708.2,1192.9,636.9,951.8,1627.6
d) Pendapatan Pertambangan Panas Bumi,0.0,0.0,0.0,941.4,400.4,343.8,562.7,739.0,866.6,755.5,882.7,932.3,933.0,2280.6,1930.0,1962.0,1929.1,2288.2,2831.2,2838.1,2189.7
b. Pendapatan dari Kekayaan Negara Dipisahkan,12835.2,21450.6,23222.5,29088.4,26049.5,30096.9,28184.0,30798.0,34025.6,40314.4,37643.7,37133.2,43904.2,45060.5,80700.0,66080.5,30496.8,40597.1,82058.7,86386.9,90000.0
c. Pendapatan PNBP Lainnya,23585.9,38025.7,59004.6,67053.3,53796.1,59428.6,69360.5,73458.5,69671.9,87746.8,81697.4,117995.4,108834.6,128574.0,124500.0,111200.3,152504.0,196324.3,180415.1,163609.9,127741.4
d. Pendapatan Badan Layanan Umum,0.0,0.0,0.0,0.0,8369.5,10590.8,20104.0,21704.3,24648.2,29681.0,35315.5,41945.9,47345.4,55093.1,48900.0,69308.3,126002.8,89902.3,95860.4,100303.5,77929.5
e. Surplus Bank Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456355.0,0.0,0.0,0.0,0.0,0.0
