Date;BCA_O;BCA_H;BCA_L;BCA_C;BCA_AdjC;BCA_Vol
Apr 17, 2025;8,450.00;8,500.00;8,350.00;8,500.00;8,500.00;83,540,600
Apr 16, 2025;8,500.00;8,550.00;8,425.00;8,475.00;8,475.00;76,874,900
Apr 15, 2025;8,575.00;8,600.00;8,450.00;8,575.00;8,575.00;83,431,800
Apr 14, 2025;8,250.00;8,400.00;8,250.00;8,400.00;8,400.00;83,319,300
Apr 11, 2025;8,200.00;8,325.00;8,050.00;8,275.00;8,275.00;82,603,000
Apr 10, 2025;8,500.00;8,650.00;8,175.00;8,225.00;8,225.00;144,148,600
Apr 9, 2025;7,700.00;7,950.00;7,675.00;7,925.00;7,925.00;136,753,900
Apr 8, 2025;7,400.00;8,000.00;7,275.00;7,775.00;7,775.00;533,073,600
Mar 27, 2025;8,425.00;8,575.00;8,375.00;8,500.00;8,500.00;122,943,900
Mar 26, 2025;8,300.00;8,650.00;8,275.00;8,525.00;8,525.00;283,104,600
Mar 25, 2025;8,075.00;8,150.00;8,000.00;8,050.00;8,050.00;136,341,700
Mar 24, 2025;7,825.00;8,100.00;7,625.00;7,950.00;7,950.00;331,836,800
Mar 21, 2025;8,275.00;8,275.00;7,900.00;7,900.00;7,900.00;377,916,400
Mar 20, 2025;8,450.00;8,475.00;8,350.00;8,375.00;8,125.00;152,917,300
Mar 19, 2025;8,300.00;8,400.00;8,225.00;8,325.00;8,076.49;214,108,200
Mar 18, 2025;8,500.00;8,550.00;8,075.00;8,300.00;8,052.24;417,305,700
Mar 17, 2025;8,750.00;8,775.00;8,550.00;8,600.00;8,343.28;151,365,700
Mar 14, 2025;8,800.00;8,925.00;8,750.00;8,750.00;8,488.81;111,397,800
Mar 13, 2025;9,150.00;9,175.00;8,975.00;8,975.00;8,707.09;83,030,700
Mar 12, 2025;9,025.00;9,125.00;8,975.00;9,125.00;8,852.61;87,968,900
Mar 11, 2025;8,950.00;9,050.00;8,875.00;8,925.00;8,658.58;109,295,600
Mar 10, 2025;8,750.00;8,975.00;8,725.00;8,925.00;8,658.58;97,652,100
Mar 7, 2025;9,000.00;9,000.00;8,925.00;8,925.00;8,658.58;82,295,300
Mar 6, 2025;9,200.00;9,200.00;8,975.00;8,975.00;8,707.09;96,270,100
Mar 5, 2025;8,825.00;9,175.00;8,825.00;9,000.00;8,731.34;155,207,900
Mar 4, 2025;8,900.00;8,925.00;8,675.00;8,850.00;8,585.82;125,418,500
Mar 3, 2025;8,600.00;8,900.00;8,550.00;8,800.00;8,537.31;192,944,300
Feb 28, 2025;8,525.00;8,675.00;8,425.00;8,425.00;8,173.51;293,095,000
Feb 27, 2025;8,800.00;8,800.00;8,500.00;8,525.00;8,270.52;199,991,600
Feb 26, 2025;8,800.00;8,900.00;8,725.00;8,775.00;8,513.06;117,843,500
Feb 25, 2025;8,900.00;9,000.00;8,825.00;8,825.00;8,561.57;101,592,700
Feb 24, 2025;8,925.00;8,975.00;8,875.00;8,925.00;8,658.58;108,530,300
Feb 21, 2025;8,950.00;9,000.00;8,925.00;9,000.00;8,731.34;106,054,700
Feb 20, 2025;8,975.00;9,025.00;8,950.00;9,000.00;8,731.34;119,260,800
Feb 19, 2025;9,225.00;9,250.00;8,950.00;8,950.00;8,682.84;154,438,200
Feb 18, 2025;9,325.00;9,575.00;9,250.00;9,300.00;9,022.39;107,318,300
Feb 17, 2025;8,975.00;9,325.00;8,975.00;9,325.00;9,046.64;89,096,400
Feb 14, 2025;9,000.00;9,075.00;8,950.00;8,975.00;8,707.09;116,274,500
Feb 13, 2025;9,100.00;9,150.00;9,000.00;9,000.00;8,731.34;90,439,700
Feb 12, 2025;8,950.00;9,150.00;8,950.00;9,150.00;8,876.87;121,172,600
Feb 11, 2025;9,025.00;9,100.00;9,000.00;9,075.00;8,804.10;71,188,300
