Date;BRI_O;BRI_H;BRI_L;BRI_C;BRI_AdjC;BRI_Vol
Apr 17, 2025;3,670.00;3,670.00;3,610.00;3,640.00;3,640.00;121,059,300
Apr 16, 2025;3,690.00;3,700.00;3,600.00;3,650.00;3,650.00;233,772,400
Apr 15, 2025;3,730.00;3,780.00;3,680.00;3,690.00;3,690.00;254,224,400
Apr 14, 2025;3,630.00;3,690.00;3,620.00;3,690.00;3,690.00;169,458,300
Apr 11, 2025;3,600.00;3,650.00;3,590.00;3,630.00;3,630.00;301,200,600
Apr 10, 2025;3,920.00;3,930.00;3,770.00;3,800.00;3,591.60;417,562,900
Apr 9, 2025;3,610.00;3,710.00;3,600.00;3,630.00;3,430.92;366,649,900
Apr 8, 2025;3,460.00;3,750.00;3,450.00;3,640.00;3,440.37;734,807,100
Mar 27, 2025;4,000.00;4,050.00;3,930.00;4,050.00;3,827.89;322,553,200
Mar 26, 2025;3,870.00;4,020.00;3,860.00;4,000.00;3,780.63;540,888,800
Mar 25, 2025;3,660.00;3,840.00;3,660.00;3,800.00;3,591.60;331,285,900
Mar 24, 2025;3,650.00;3,740.00;3,520.00;3,610.00;3,412.02;342,883,200
Mar 21, 2025;3,600.00;3,700.00;3,550.00;3,700.00;3,497.08;627,645,600
Mar 20, 2025;3,730.00;3,760.00;3,640.00;3,660.00;3,459.28;313,033,000
Mar 19, 2025;3,710.00;3,780.00;3,680.00;3,710.00;3,506.54;352,217,700
Mar 18, 2025;3,840.00;3,860.00;3,500.00;3,680.00;3,478.18;416,894,600
Mar 17, 2025;3,780.00;3,840.00;3,730.00;3,830.00;3,619.95;162,467,700
Mar 14, 2025;3,750.00;3,840.00;3,750.00;3,750.00;3,544.34;156,131,900
Mar 13, 2025;3,960.00;3,970.00;3,800.00;3,800.00;3,591.60;209,225,700
Mar 12, 2025;3,810.00;3,920.00;3,810.00;3,890.00;3,676.66;271,631,200
Mar 11, 2025;3,700.00;3,790.00;3,660.00;3,790.00;3,582.15;273,961,800
Mar 10, 2025;3,790.00;3,810.00;3,730.00;3,760.00;3,553.79;232,192,200
Mar 7, 2025;3,930.00;3,930.00;3,810.00;3,810.00;3,601.05;243,793,600
Mar 6, 2025;3,870.00;3,990.00;3,870.00;3,950.00;3,733.37;434,485,100
Mar 5, 2025;3,710.00;3,900.00;3,710.00;3,840.00;3,629.41;441,151,000
Mar 4, 2025;3,680.00;3,720.00;3,600.00;3,670.00;3,468.73;338,434,700
Mar 3, 2025;3,520.00;3,740.00;3,470.00;3,670.00;3,468.73;744,626,800
Feb 28, 2025;3,500.00;3,540.00;3,360.00;3,360.00;3,175.73;1,000,597,600
Feb 27, 2025;3,790.00;3,800.00;3,610.00;3,630.00;3,430.92;410,928,000
Feb 26, 2025;3,800.00;3,860.00;3,760.00;3,820.00;3,610.50;242,834,100
Feb 25, 2025;3,880.00;3,920.00;3,800.00;3,800.00;3,591.60;404,555,100
Feb 24, 2025;3,900.00;3,940.00;3,870.00;3,920.00;3,705.02;138,610,800
Feb 21, 2025;3,910.00;3,930.00;3,870.00;3,890.00;3,676.66;205,268,800
