Negara;Tahun;A;B;C;D;E;F;G;H;I;J;K;L;M
Arab Saudi;2000;-0,20;-0,23;0,23;-0,17;-0,12;-1,60;74,3;6,5;51,6;4,72;5,910;4,212;4,57
Arab Saudi;2001;-0,01;-0,28;0,12;-0,09;-0,10;-1,65;70,46;-1,4;49,1;0,34;7,719;4,462;4,618
Arab Saudi;2002;0,18;-0,34;0,00;-0,02;-0,07;-1,70;65,96;-3,7;46,4;-0,69;7,637;4,249;5,265
Arab Saudi;2003;-0,17;-0,37;0,14;0,11;0,08;-1,64;70,84;13,2;48,2;8,77;7,105;3,979;5,563
Arab Saudi;2004;-0,30;-0,39;-0,65;0,01;0,04;-1,32;73,57;9,8;50;8,63;6,277;3,584;5,822
Arab Saudi;2005;-0,10;-0,39;-0,24;-0,02;0,11;-1,54;74,77;7,1;50,6;5,94;5,431;3,419;6,051
Arab Saudi;2006;-0,20;-0,20;-0,52;0,01;-0,05;-1,78;73,78;3,4;50,1;3,31;5,891;3,619;6,254
Arab Saudi;2007;-0,17;-0,14;-0,47;0,07;0,02;-1,71;74,98;2,5;49,2;2,21;0,573;3,562;5,734
Arab Saudi;2008;-0,01;-0,11;-0,34;0,07;0,12;-1,73;76,2;5;50,2;6,24;5,138;2,971;5,085
Arab Saudi;2009;-0,02;-0,11;-0,49;0,05;0,16;-1,82;87;-7;47,7;-1,07;6,457;4,290;5,377
Arab Saudi;2010;0,04;-0,02;-0,23;0,15;0,16;-1,79;96,6;2,5;50,6;5,04;5,815;3,648;5,55
Arab Saudi;2011;-0,31;-0,32;-0,46;0,05;0,02;-1,91;128;12;53,7;10,99;5,849;3,682;5,77
Arab Saudi;2012;-0,05;0,02;-0,48;0,14;0,10;-1,87;126;4,9;54,3;5,41;6,155;3,988;5,622
Arab Saudi;2013;-0,03;0,06;-0,43;0,15;0,08;-1,88;151;0,2;52,7;2,53;6,590;4,423;5,6
Arab Saudi;2014;0,08;0,19;-0,29;0,13;-0,01;-1,88;209;3,1;53,4;3,81;7,325;5,158;5,877
Arab Saudi;2015;0,02;0,15;-0,63;0,10;0,00;-1,84;201;4;53;4,51;8,029;5,862;5,6
Arab Saudi;2016;0,20;0,21;-0,47;0,32;0,06;-1,73;152;5,5;52;1,88;8,408;6,241;5,6
Arab Saudi;2017;0,33;0,21;-0,65;0,08;-0,02;-1,69;131;-0,3;52,4;0,91;8,198;6,031;5,89
Arab Saudi;2018;0,33;0,27;-0,66;0,12;-0,09;-1,69;145;1,4;55,5;3,20;7,507;5,341;6,029
Arab Saudi;2019;0,25;0,26;-0,62;0,15;-0,09;-1,66;155;-6,3;56,4;1,10;7,634;5,467;5,636
Arab Saudi;2020;0,24;0,11;-0,65;0,22;0,25;-1,61;168;-7,6;51,8;-3,58;8,813;6,646;7,66
Arab Saudi;2021;0,28;0,46;-0,59;0,21;0,32;-1,60;168;11,2;55,8;5,08;8,135;5,968;6,621
Arab Saudi;2022;0,36;0,58;-0,36;0,29;0,42;-1,48;176;7,3;57,4;7,49;6,625;5,290;5,589
Arab Saudi;2023;0,54;0,80;-0,21;0,41;0,52;-1,42;212;-10,5;55,1;-0,75;5,115;4,899;4,008
China;2000;-0,21;-0,16;-0,21;-0,52;-0,32;-1,38;16,9;8,9;2,19;8,49;1,888;4,508;3,26
China;2001;-0,38;-0,14;-0,27;-0,52;-0,45;-1,49;18,2;2,3;2,36;8,34;1,989;4,253;3,8
China;2002;-0,56;-0,12;-0,33;-0,52;-0,58;-1,59;19,6;18,6;2,56;9,13;2,09;4,383;4,24
China;2003;-0,40;-0,15;-0,57;-0,55;-0,39;-1,51;21;14,8;2,8;10,04;2,191;4,418;4,58
China;2004;-0,57;-0,11;-0,39;-0,59;-0,35;-1,46;23,7;7,2;3,06;10,11;2,292;4,293;4,49
China;2005;-0,62;-0,14;-0,50;-0,65;-0,18;-1,50;27,7;20,9;3,39;11,39;2,392;4,176;4,52
China;2006;-0,52;0,04;-0,54;-0,70;-0,26;-1,75;32,5;11,2;3,8;12,72;2,441;3,947;4,43
China;2007;-0,60;0,17;-0,50;-0,60;-0,23;-1,72;39,5;24,1;4,32;14,23;2,701;3,675;4,35
China;2008;-0,53;0,17;-0,49;-0,48;-0,22;-1,70;46,2;15,4;4,71;9,65;3,632;3,900;4,59
China;2009;-0,52;0,09;-0,45;-0,46;-0,30;-1,70;51,4;11;5,13;9,40;3,752;4,350;4,72
China;2010;-0,57;0,09;-0,66;-0,47;-0,32;-1,68;60,1;28,43;5,65;10,64;3,560;4,231;4,53
China;2011;-0,51;0,08;-0,60;-0,45;-0,26;-1,64;74,4;13,41;6,15;9,55;3,809;4,343;4,55
China;2012;-0,44;0,02;-0,54;-0,55;-0,28;-1,64;84,9;2,78;6,59;7,86;4,298;4,566;4,58
China;2013;-0,36;-0,01;-0,54;-0,53;-0,33;-1,63;94,2;19,84;7,06;7,77;4,130;4,715;4,6
China;2014;-0,34;0,35;-0,52;-0,40;-0,33;-1,62;102;7,95;7,53;7,43;4,105;4,778;4,63
China;2015;-0,30;0,42;-0,55;-0,41;-0,35;-1,66;112;7,45;8,02;7,04;4,242;4,938;4,65
China;2016;-0,27;0,36;-0,50;-0,32;-0,31;-1,56;122;5,4;8,52;6,85;4,206;4,980;4,56
China;2017;-0,29;0,42;-0,23;-0,26;-0,18;-1,50;136;6,3;9,05;6,95;4,111;5,066;4,47
China;2018;-0,29;0,50;-0,30;-0,19;-0,23;-1,46;152;7,2;9,62;6,75;4,024;5,168;4,31
China;2019;-0,31;0,54;-0,26;-0,26;-0,30;-1,63;165;5,3;10,2;5,95;4,059;5,350;4,56
