Nama_Kota;Tahun;DBH_PAJAK;DBH_SDA;DA_Grant;DAK_Fisik;DAK_Nonfisik;DID_Reguler;bp_PU;bbj_PU;bm_PU;bl_PU;bl_KK;bbj_KK;bm_KK;bl_KK;bp_EK0;bbj_EKO;bm_EKO;bl_EKO;bp_PLH;bbj_PLH;bm_PLH;bl_PLH;bp_PFUM;bjj_PFUM;bm_PFUM;bl_PFUM;bp_KES;bjj_KES;bm_KES;bl_KES;bp_PAR;bjj_PAR;bm_PAR;bl_PAR;bp_PEND;bjj_PEND;bm_PEND;bl_PEND;bp_PSOS;bjj_PSOS;bm_PSOS;bl_PSOS
Kota Banda Aceh;2014;31744116140;9725889985;610554730000;38833120000;0;24281447000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Banda Aceh;2015;23453981300;4533975059;612503568000;42758540000;0;24354333000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Banda Aceh;2016;36457421642;2735079537;602292108000;92999343947;75636748000;5000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Banda Aceh;2017;37832287441;3695993519;591711772000;60015091827;53702767634;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Banda Aceh;2018;36532004632;3540745774;591711772000;42900320421;73695385586;17750000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Banda Aceh;2019;32011438679;4309886014;605014830000;43980436974;70100758896;23010581000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Banda Aceh;2020;33254571474;4707248154;547629398000;51467990814;75299947171;41144614000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Banda Aceh;2021;50076899364;3430378631;539238114000;66745300595;71363554000;10998041000;89369773939;97881400059;7660247510;136442262804;16540549633;15447484416;3131205201;16540549633;24756868269;45891042026;74477194712;26225405071;11906889726;47510875275;10535363000;1704620000;3437719702;3268905434;18290313837;6217515000;76405844288;108845026171;38164314246;682605000;2848074763;4836649755;13189092900;17445000;199333723736;57115417456;20415294521;13094829988;18896080808;9339838213;569744000;802719000
Kota Banda Aceh;2022;48740500743;6955012366;539238114000;73057400733;100719002298;50554816000;102350497967;123453298089;4808870651;141422918894;13564614077;12142643858;12310898989;13564614077;;78023950456;66539747790;18754154812;5007371840;53439819691;8575467600;2881500000;10382032601;6616504168;6617223000;1788863000;88312579214;125348012297;84608418303;3815019375;2725838958;3809911496;7062605800;0;193954074114;31421292364;21383086396;52679461161;7113999397;6353808566;703100000;1802008000
Kota Banda Aceh;2023;40563602025;10664736000;467510751000;43781961717;106048470752;5781382000;112735487862;128405329349;3706765486;160890627785;14523480132;17181400175;146981760;14523480132;37130036418;57075429855;41905110075;15735886841;5185035656;62516986533;6480464500;3739700000;11731317961;6776832827;11760837845;10827161000;94031614766;152103464352;16802954983;2590549970;2936201897;4796192948;0;72645000;203774014514;37968877626;18879684406;22127605991;7380316689;9521864448;0;2114091400
Kota Banda Aceh;2024;31467368000;5332001000;524515664000;71554314294;110812112759;11429173000;121682217781;96407186130;2564209000;176224975556;16131489937;15147734139;900800000;16131489937;39189143620;49177003201;39657798762;12049217000;5708753386;69331184559;320430000;0;12416961352;7846614336;11963561636;2134164000;114812342503;164254114336;53940183456;4500000;3099371696;3231049030;760606000;0;216224745418;51454970710;22307969228;19090107446;8349000244;5754199122;0;262265280
Kota Sabang;2014;17357365807;9770464662;324038882000;31401610000;0;3000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sabang;2015;11133158600;4569337659;332562082000;54471721000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
