Provinsi,Tahun,IPM,KMSKN,PMSKN,PEGR,PEGRjw,PE,PADm,TPENDm,BEKOm,BKESm,BPENm
Sulawesi Utara,2013,69.49,8.5,"200,16",6.79,70315,6.38,790.27,2062.08,2477.2,1729.4,3968.1
Sulawesi Utara,2014,69.96,8.26,"197,56",7.54,79996,6.31,937.68,2320.81,2941.5,1850.7,1092.1
Sulawesi Utara,2015,70.39,8.98,"217,15",9.03,99240,6.12,"1,012.95",2527.96,3170.7,2158.4,5290.2
Sulawesi Utara,2016,71.05,8.2,"200,35",6.18,73157,6.16,981.04,2885.19,470.7,757.0,328.5
Sulawesi Utara,2017,71.66,7.9,"194,85",7.18,80483,6.31,"1,146.67",3731.9,3302.5,2482.2,13178.7
Sulawesi Utara,2018,72.2,7.59,"189,05",6.61,78891,6.00,"1,253.80",3779.78,3278.6,2792.1,12990.0
Sulawesi Utara,2019,72.99,7.51,"188,60",6.01,73413,5.65,"1,286.07",3940.23,3566.4,5298.7,14295.6
Sulawesi Utara,2020,72.93,7.78,"195,85",7.37,90248,-0.99,"1,125.32",3691,2353.3,7056.8,14913.4
Sulawesi Utara,2021,73.3,7.36,"186,55",7.06,85540,4.16,"1,310.53",3958.02,8857.3,5534.9,14171.1
Sulawesi Utara,2022,73.81,7.34,"187,33",6.61,82123,5.42,"1,464.72",3726.58,5558.8,5487.6,10735.6
Sulawesi Utara,2023,74.36,7.38,"189,00",6.10,81201,5.48,"1,460.74",3538.19,0.0,0.0,0.0
Sulawesi Tengah,2013,65.79,14.32,"400,10",4.19,54210,9.59,662.23,2132.94,3814.4,2330.3,4522.9
Sulawesi Tengah,2014,66.43,13.61,"387,06",3.68,49389,5.07,824.61,2440.23,4348.6,2656.7,5156.4
Sulawesi Tengah,2015,66.76,14.07,"406,34",4.10,56817,15.5,904.94,2901.59,4812.2,3316.3,6562.1
Sulawesi Tengah,2016,67.47,14.09,"413,15",3.29,49702,9.94,939.09,3175.69,6186.2,3291.9,1904.6
Sulawesi Tengah,2017,68.11,14.22,"423,27",3.81,54369,7.1,958.21,3638.34,4604.1,3819.5,12868.4
