kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Bantaeng,2010,1040.57,56.85,100.69,3.3,2.24,401.69,354.45,31.35,15.34,61.19,52.8,132.04,3.85,203.89,150.44,49.87,35.73,2696.3,62.46,10.24,8.32,0.46,5.51,176.7,15.21,68.45,18.1,0.4835,CUKUP INKLUSIF
Bantaeng,2011,1131.29,63.67,107.6,3.56,2.56,436.48,387.17,33.99,17.78,70.56,62.38,144.42,4.14,223.18,168.47,53.05,39.01,2949.29,63.07,9.21,9.38,0.46,5.54,178.6,18.18,59.24,16.5,0.5063,CUKUP INKLUSIF
Bantaeng,2012,1160.56,72.83,132.13,4.11,3.02,477.9,450.41,38.58,20.77,86.6,75.03,168.51,4.51,231.16,200.8,65.37,42.17,3234.46,63.99,8.9,9.67,0.46,7.02,179.8,21.28,54.64,16.0,0.5208,CUKUP INKLUSIF
Bantaeng,2013,1223.73,80.12,155.32,4.41,3.1,530.47,507.35,41.78,24.54,97.99,82.06,183.68,4.8,241.28,215.27,81.01,48.72,3525.61,64.88,10.45,9.0,0.46,6.44,181.01,24.03,50.04,18.9,0.5204,CUKUP INKLUSIF
Bantaeng,2014,1302.07,90.38,182.07,4.9,3.33,576.72,564.15,45.59,29.75,103.32,88.11,208.92,5.02,248.55,222.02,90.52,53.87,3819.28,65.77,9.68,8.33,0.46,2.4,182.28,27.23,45.44,17.7,0.52,CUKUP INKLUSIF
Bantaeng,2015,1307.02,116.97,196.86,5.4,3.37,600.44,657.08,53.95,33.15,113.31,93.16,231.45,5.34,258.17,232.02,105.95,59.44,4073.06,66.2,9.53,6.64,0.44,4.07,183.24,30.42,40.83,17.55,0.5136,CUKUP INKLUSIF
Barru,2018,1581.31,130.68,232.09,6.1,4.62,714.3,460.26,111.5,43.31,255.89,120.72,153.34,1.14,338.93,173.78,108.28,30.29,4466.54,70.05,9.04,7.11,0.38,5.38,173.36,38.09,36.34,15.68,0.6069,CUKUP INKLUSIF
Barru,2019,1652.72,138.15,253.7,6.39,5.1,785.01,505.36,126.16,48.28,281.43,124.64,155.83,1.25,375.96,186.48,117.3,33.68,4797.43,70.6,8.57,7.41,0.36,5.39,173.97,41.8,46.07,14.92,0.6321,CUKUP INKLUSIF
Barru,2020,1662.67,139.11,247.14,6.8,5.79,792.83,497.56,112.19,48.24,313.08,127.94,160.0,1.18,371.71,195.61,125.65,31.6,4839.12,71.0,8.26,0.87,0.36,6.39,184.45,40.36,43.1,14.44,0.5371,CUKUP INKLUSIF
Barru,2021,1751.02,144.1,259.09,7.28,6.08,825.6,524.82,121.03,50.57,332.02,136.88,163.82,1.24,376.89,200.9,134.24,34.41,5069.99,71.13,8.68,4.77,0.36,6.74,185.38,43.46,42.87,15.18,0.5978,CUKUP INKLUSIF
