Date,Open,High,Low,Close,Adj Close,Volume
"Apr 17, 2025",6407.03,6438.28,6384.30,6438.28,6438.28,131124200.00
"Apr 16, 2025",6461.28,6469.61,6373.80,6400.06,6400.06,142022700.00
"Apr 15, 2025",6444.35,6497.54,6395.94,6441.69,6441.69,147079600.00
"Apr 14, 2025",6225.35,6404.08,6225.35,6368.53,6368.53,149701700.00
"Apr 11, 2025",6195.58,6298.79,6148.79,6262.24,6262.24,117642700.00
"Apr 10, 2025",6270.62,6310.84,6188.68,6254.03,6254.03,181443500.00
"Apr 9, 2025",5978.45,6092.42,5949.61,5967.10,5967.10,150044400.00
"Apr 8, 2025",5914.30,6036.56,5882.61,5996.15,5996.15,184790800.00
"Mar 27, 2025",6462.61,6510.63,6417.25,6510.63,6510.63,121855500.00
"Mar 26, 2025",6314.34,6489.16,6312.98,6472.37,6472.37,159762700.00
"Mar 25, 2025",6197.10,6265.31,6178.50,6235.63,6235.63,111267000.00
"Mar 24, 2025",6242.24,6269.91,5967.20,6161.23,6161.23,124187900.00
"Mar 21, 2025",6418.40,6426.18,6218.61,6258.19,6258.19,190225100.00
"Mar 20, 2025",6372.62,6446.90,6353.70,6381.68,6381.68,146168800.00
"Mar 19, 2025",6221.21,6332.74,6147.44,6311.67,6311.67,126795800.00
"Mar 18, 2025",6458.68,6465.23,6011.85,6223.40,6223.40,233069600.00
"Mar 17, 2025",6490.68,6557.42,6445.99,6471.96,6471.96,126321100.00
"Mar 14, 2025",6623.70,6632.09,6514.70,6515.64,6515.64,122970500.00
"Mar 13, 2025",6700.12,6707.40,6618.55,6647.43,6647.43,139851000.00
"Mar 12, 2025",6566.81,6665.05,6566.21,6665.05,6665.05,139690400.00
"Mar 11, 2025",6535.88,6567.59,6499.05,6545.86,6545.86,150016300.00
"Mar 10, 2025",6618.93,6629.45,6568.14,6598.22,6598.22,153564400.00
"Mar 7, 2025",6631.32,6682.95,6577.84,6636.01,6636.01,198389400.00
"Mar 6, 2025",6577.86,6667.90,6573.81,6617.86,6617.86,138941500.00
"Mar 5, 2025",6404.70,6570.83,6404.70,6531.41,6531.41,143533500.00
"Mar 4, 2025",6524.71,6528.98,6361.41,6380.41,6380.41,149084200.00
"Mar 3, 2025",6362.16,6570.96,6347.11,6519.67,6519.67,170810200.00
"Feb 28, 2025",6446.65,6447.89,6246.29,6270.61,6270.61,196893700.00
"Feb 27, 2025",6609.90,6626.27,6443.23,6485.46,6485.46,156489700.00
"Feb 26, 2025",6627.03,6682.88,6547.25,6606.19,6606.19,135195100.00
"Feb 25, 2025",6749.45,6772.66,6576.98,6587.10,6587.10,194167900.00
"Feb 24, 2025",6801.69,6818.80,6732.42,6749.61,6749.61,156247700.00
"Feb 21, 2025",6788.91,6814.88,6758.36,6803.01,6803.01,131140300.00
"Feb 20, 2025",6796.68,6836.73,6755.44,6788.05,6788.05,168907900.00
"Feb 19, 2025",6877.17,6886.93,6773.92,6794.88,6794.88,159932500.00
"Feb 18, 2025",6847.78,6908.71,6830.79,6873.56,6873.56,158584300.00
"Feb 17, 2025",6663.32,6830.89,6658.23,6830.89,6830.89,136644900.00
"Feb 14, 2025",6640.14,6679.41,6609.68,6638.47,6638.47,121300000.00
"Feb 13, 2025",6637.43,6647.11,6565.79,6613.58,6613.58,126053300.00
"Feb 12, 2025",6540.96,6645.79,6537.49,6645.79,6645.79,141288200.00
"Feb 11, 2025",6629.82,6658.24,6500.47,6531.10,6531.10,146025200.00
"Feb 10, 2025",6681.24,6713.96,6585.99,6648.15,6648.15,153503000.00
"Feb 7, 2025",6758.11,6769.79,6656.73,6742.59,6742.59,152142600.00
"Feb 6, 2025",7030.20,7033.63,6830.12,6875.55,6875.55,170868800.00
"Feb 5, 2025",7071.59,7079.47,7002.53,7024.24,7024.24,247130700.00
"Feb 4, 2025",7051.49,7125.95,7037.64,7073.47,7073.47,250749100.00
"Feb 3, 2025",7087.76,7089.71,6933.15,7030.07,7030.07,135419500.00
"Jan 31, 2025",7113.59,7174.76,7095.69,7109.21,7109.21,125561900.00
"Jan 30, 2025",7142.80,7150.30,7042.70,7073.49,7073.49,156862200.00
"Jan 24, 2025",7255.03,7261.46,7166.07,7166.07,7166.07,122224300.00
"Jan 23, 2025",7275.01,7324.64,7232.65,7232.65,7232.65,142025900.00
"Jan 22, 2025",7227.03,7267.50,7223.27,7257.14,7257.14,146457400.00
"Jan 21, 2025",7207.60,7221.74,7176.34,7181.83,7181.83,176177100.00
"Jan 20, 2025",7188.41,7201.62,7165.45,7170.75,7170.75,183080100.00
