Date;IHSG_O;IHSG_H;IHSG_L;IHSG_C;IHSG_AdjC;IHSG_Vol;BCA_O;BCA_H;BCA_L;BCA_C;BCA_AdjC;BCA_Vol;BRI_O;BRI_H;BRI_L;BRI_C;BRI_AdjC;BRI_Vol
Apr 17, 2025;6,407.02;6,438.27;6,384.29;6,438.27;6,438.27;131,124,200;8,450.00;8,500.00;8,350.00;8,500.00;8,500.00;83,540,600;3,670.00;3,670.00;3,610.00;3,640.00;3,640.00;121,059,300
Apr 16, 2025;6,461.27;6,469.60;6,373.79;6,400.05;6,400.05;142,022,700;8,500.00;8,550.00;8,425.00;8,475.00;8,475.00;76,874,900;3,690.00;3,700.00;3,600.00;3,650.00;3,650.00;233,772,400
Apr 15, 2025;6,444.34;6,497.53;6,395.93;6,441.68;6,441.68;147,079,600;8,575.00;8,600.00;8,450.00;8,575.00;8,575.00;83,431,800;3,730.00;3,780.00;3,680.00;3,690.00;3,690.00;254,224,400
Apr 14, 2025;6,225.34;6,404.07;6,225.34;6,368.52;6,368.52;149,701,700;8,250.00;8,400.00;8,250.00;8,400.00;8,400.00;83,319,300;3,630.00;3,690.00;3,620.00;3,690.00;3,690.00;169,458,300
Apr 11, 2025;6,195.57;6,298.78;6,148.78;6,262.23;6,262.23;117,642,700;8,200.00;8,325.00;8,050.00;8,275.00;8,275.00;82,603,000;3,600.00;3,650.00;3,590.00;3,630.00;3,630.00;301,200,600
Apr 10, 2025;6,270.61;6,310.83;6,188.67;6,254.02;6,254.02;181,443,500;8,500.00;8,650.00;8,175.00;8,225.00;8,225.00;144,148,600;3,920.00;3,930.00;3,770.00;3,800.00;3,591.60;417,562,900
Apr 9, 2025;5,978.44;6,092.41;5,949.60;5,967.99;5,967.99;150,044,400;7,700.00;7,950.00;7,675.00;7,925.00;7,925.00;136,753,900;3,610.00;3,710.00;3,600.00;3,630.00;3,430.92;366,649,900
Apr 8, 2025;5,914.29;6,036.55;5,882.60;5,996.14;5,996.14;184,790,800;7,400.00;8,000.00;7,275.00;7,775.00;7,775.00;533,073,600;3,460.00;3,750.00;3,450.00;3,640.00;3,440.37;734,807,100
Mar 27, 2025;6,462.60;6,510.62;6,417.24;6,510.62;6,510.62;121,855,500;8,425.00;8,575.00;8,375.00;8,500.00;8,500.00;122,943,900;4,000.00;4,050.00;3,930.00;4,050.00;3,827.89;322,553,200
Mar 26, 2025;6,314.33;6,489.15;6,312.97;6,472.36;6,472.36;159,762,700;8,300.00;8,650.00;8,275.00;8,525.00;8,525.00;283,104,600;3,870.00;4,020.00;3,860.00;4,000.00;3,780.63;540,888,800
Mar 25, 2025;6,197.99;6,265.30;6,178.49;6,235.62;6,235.62;111,267,000;8,075.00;8,150.00;8,000.00;8,050.00;8,050.00;136,341,700;3,660.00;3,840.00;3,660.00;3,800.00;3,591.60;331,285,900
Mar 24, 2025;6,242.23;6,269.90;5,967.19;6,161.22;6,161.22;124,187,900;7,825.00;8,100.00;7,625.00;7,950.00;7,950.00;331,836,800;3,650.00;3,740.00;3,520.00;3,610.00;3,412.02;342,883,200
Mar 21, 2025;6,418.39;6,426.17;6,218.60;6,258.18;6,258.18;190,225,100;8,275.00;8,275.00;7,900.00;7,900.00;7,900.00;377,916,400;3,600.00;3,700.00;3,550.00;3,700.00;3,497.08;627,645,600
Mar 20, 2025;6,372.61;6,446.89;6,353.69;6,381.67;6,381.67;146,168,800;8,450.00;8,475.00;8,350.00;8,375.00;8,125.00;152,917,300;3,730.00;3,760.00;3,640.00;3,660.00;3,459.28;313,033,000
Mar 19, 2025;6,221.20;6,332.73;6,147.43;6,311.66;6,311.66;126,795,800;8,300.00;8,400.00;8,225.00;8,325.00;8,076.49;214,108,200;3,710.00;3,780.00;3,680.00;3,710.00;3,506.54;352,217,700
Mar 18, 2025;6,458.67;6,465.22;6,011.84;6,223.39;6,223.39;233,069,600;8,500.00;8,550.00;8,075.00;8,300.00;8,052.24;417,305,700;3,840.00;3,860.00;3,500.00;3,680.00;3,478.18;416,894,600
Mar 17, 2025;6,490.67;6,557.41;6,445.98;6,471.95;6,471.95;126,321,100;8,750.00;8,775.00;8,550.00;8,600.00;8,343.28;151,365,700;3,780.00;3,840.00;3,730.00;3,830.00;3,619.95;162,467,700
Mar 14, 2025;6,623.69;6,632.08;6,514.69;6,515.63;6,515.63;122,970,500;8,800.00;8,925.00;8,750.00;8,750.00;8,488.81;111,397,800;3,750.00;3,840.00;3,750.00;3,750.00;3,544.34;156,131,900
