Kabupaten,Tahun,PDRB,PE(%),TPT(%),Kemiskinan_(P0)_(%),IPM , Anggaran_PAD, Realisasi_PAD, Anggaran_Transf, Realisasi_Transf, Ekonomi, Kesehatan, Pendidikan
Bantaeng,2015,4073.06,6.64,4.07,9.53,66.2,46.06,43.80,527.70,622.23,76.32,131.86,236.20
Bantaeng,2016,4374.21,7.39,4.65,9.51,66.59,62.49,66.25,878.56,944.30,82.27,194.30,273.02
Bantaeng,2017,4694.16,7.31,5.23,9.66,67.27,101.61,65.20,769.13,762.41,98.94,177.98,226.92
Bantaeng,2018,5075.84,8.13,3.69,9.23,67.76,162.09,94.63,782.30,772.73,75.73,203.29,239.62
Bantaeng,2019,5621.52,10.75,3.65,9.03,68.3,98.82,107.14,860.44,841.43,89.37,204.72,344.60
Bantaeng,2020,5650.54,0.52,4.27,8.95,68.73,158.31,110.11,818.38,746.06,79.95,184.28,331.05
Bantaeng,2021,6151.45,8.86,4.07,9.41,68.99,183.18,121.64,785.69,774.60,114.88,273.79,283.49
Bantaeng,2022,7102.04,15.45,2.72,9.07,69.69,184.74,175.74,769.58,734.91,152.13,262.71,248.67
Bantaeng,2023,7496.65,5.56,3.71,9.18,70.57,191.84,191.33,711.82,721.82,126.34,244.31,287.68
Bantaeng,2024,7823.49,4.36,2.57,8.26,71.48,241.93,203.50,771.80,709.72,117.26,287.21,336.25
Barru,2015,3694.24,6.32,7.68,9.42,68.64,47.02,56.32,574.16,680.80,55.46,122.37,320.48
Barru,2016,3916.34,6.01,6.64,9.45,69.07,64.69,82.53,910.67,833.12,71.11,171.58,306.03
Barru,2017,4169.98,6.48,5.6,9.71,69.56,77.41,130.58,734.15,838.74,47.89,167.10,296.20
Barru,2018,4466.54,7.11,5.38,9.04,70.05,113.84,104.63,806.68,792.39,41.98,156.62,283.51
Barru,2019,4797.43,7.41,5.39,8.57,70.6,110.01,103.89,799.03,764.89,36.22,174.36,290.03
Barru,2020,4839.12,0.87,6.39,8.26,71,113.33,101.32,799.16,733.60,33.29,189.63,284.40
Barru,2021,5069.99,4.77,6.74,8.68,71.13,106.63,91.08,778.43,755.92,112.44,175.61,294.10
Barru,2022,5329.31,5.11,5.32,8.4,71.53,79.37,95.63,722.16,705.89,129.31,215.71,270.13
Barru,2023,5516.25,3.51,5.89,8.46,72.36,104.35,108.67,708.78,701.46,125.66,201.02,299.52
Barru,2024,5787.54,4.92,6.42,8.31,73.06,112.66,114.32,742.08,757.44,107.27,229.35,324.41
Bone,2015,16051.87,8.30,4.36,10.12,63.11,143.29,159.87,1113.19,1242.61,126.64,223.86,471.59
Bone,2016,17498.18,9.01,4.46,10.07,63.86,155.64,180.16,1883.31,1743.39,73.44,7.20,9.48
Bone,2017,18970.53,8.41,4.55,10.28,64.16,173.96,280.48,1863.86,1819.33,87.61,384.24,529.29
Bone,2018,20660.07,8.91,2.82,10.55,65.04,178.63,214.25,1961.77,1854.93,83.93,390.50,477.97
Bone,2019,22108.04,7.01,3.01,10.06,65.67,195.57,230.46,1981.61,1950.21,81.45,450.50,534.13
Bone,2020,22053.74,-0.25,3.2,10.68,66.06,211.58,271.46,2003.49,1820.78,66.30,533.65,528.60
Bone,2021,23273.87,5.53,4.15,10.52,66.4,244.86,177.42,1884.29,1843.77,100.18,454.19,511.63
Bone,2022,24491.73,5.23,2.27,10.58,67.01,199.76,212.61,1808.78,1755.74,491.15,444.78,512.62
Bone,2023,25416.03,3.77,2.88,10.53,67.81,229.95,248.31,1921.76,1940.97,243.45,481.60,597.13
