Prov;Tahun;IPM;KEM;PdKEMrj;PENG;PENGrj;PE;KFD;PADm;TPENDm;BlEKOm;BlKESm;BlPENm;RtPEND;RtPAD;RtMDRI
Sulawesi Utara;2013;69,49;8,5;200,16;6,79;70315;6,38;0,65;790,27;2.062,08;2.477;1.729;3.968;0,00;0,00;0,38
Sulawesi Utara;2014;69,96;8,26;197,56;7,54;79996;6,31;0,68;937,68;2.320,81;2.941;1.851;1.092;0,13;0,19;0,40
Sulawesi Utara;2015;70,39;8,98;217,15;9,03;99240;6,12;0,66;1.012,95;2.527,96;3.171;2.158;5.290;0,09;0,08;0,40
Sulawesi Utara;2016;71,05;8,2;200,35;6,18;73157;6,16;0,63;981,04;2.885,19;471;757;328;0,14;-0,03;0,34
Sulawesi Utara;2017;71,66;7,9;194,85;7,18;80483;6,31;0,37;1.146,67;3.731,90;3.303;2.482;13.179;0,29;0,17;0,31
Sulawesi Utara;2018;72,2;7,59;189,05;6,61;78891;6,00;0,34;1.253,80;3.779,78;3.279;2.792;12.990;0,01;0,09;0,33
Sulawesi Utara;2019;72,99;7,51;188,60;6,01;73413;5,65;0,36;1.286,07;3.940,23;3.566;5.299;14.296;0,04;0,03;0,33
Sulawesi Utara;2020;72,93;7,78;195,85;7,37;90248;-0,99;0,50;1.125,32;3.691,00;2.353;7.057;14.913;-0,06;-0,12;0,30
Sulawesi Utara;2021;73,3;7,36;186,55;7,06;85540;4,16;0,34;1.310,53;3.958,02;8.857;5.535;14.171;0,07;0,16;0,33
Sulawesi Utara;2022;73,81;7,34;187,33;6,61;82123;5,42;0,38;1.464,72;3.726,58;5.559;5.488;10.736;-0,06;0,12;0,39
Sulawesi Utara;2023;74,36;7,38;189,00;6,10;81201;5,48;0,37;1.460,74;3.538,19;8.795;4.457;9.096;-0,05;0,00;0,41
Sulawesi Tengah;2013;65,79;14,32;400,10;4,19;54210;9,59;0,32;662,23;2.132,94;3.814;2.330;4.523;0,00;0,00;0,31
Sulawesi Tengah;2014;66,43;13,61;387,06;3,68;49389;5,07;0,31;824,61;2.440,23;4.349;2.657;5.156;0,14;0,25;0,34
Sulawesi Tengah;2015;66,76;14,07;406,34;4,10;56817;15,5;0,34;904,94;2.901,59;4.812;3.316;6.562;0,19;0,10;0,31
Sulawesi Tengah;2016;67,47;14,09;413,15;3,29;49702;9,94;0,34;939,09;3.175,69;6.186;3.292;1.905;0,09;0,04;0,30
Sulawesi Tengah;2017;68,11;14,22;423,27;3,81;54369;7,1;0,36;958,21;3.638,34;4.604;3.820;12.868;0,15;0,02;0,26
