Kota,Tahun,DBH_PAJAK,DBH_SDA,DBH_Lainnya,DAU_Grant,DAU_Earmark,DAK_Fisik,DAK_Nonfisik,PAD,ICT,bm_pendidikan,bm_kesehatan,bm_perumahan,bm_lingkungan,bm_ekonomi,bm_infrastruktur,bm_pariwisata,bm_perlindungan_sosial,KEMISKINAN,PENGANGGURAN,KETIMPANGAN,IPM,PE
Kota Banda Aceh,2014,77.91,49.42,26.0,96.98,47.59,83.94,72.02,153.66,74.98,143.64,77.62,229.84,175.78,253.43,286.18,100.88,133.54,5.31,9.79,0.47,65.31,2.82
Kota Banda Aceh,2015,54.88,37.29,35.35,112.77,59.88,74.74,52.84,119.84,89.84,287.68,138.66,272.56,98.47,285.13,133.72,268.34,254.48,10.5,6.19,0.46,64.99,7.33
Kota Banda Aceh,2016,78.91,27.08,39.83,107.56,52.78,96.58,97.41,179.24,66.83,233.0,121.81,69.85,264.7,212.19,192.71,64.94,59.59,9.57,3.68,0.44,71.0,4.82
Kota Banda Aceh,2017,72.77,26.01,46.46,109.93,80.91,63.84,73.98,150.55,64.48,199.66,124.08,232.87,219.24,288.64,277.4,272.15,267.7,7.77,9.79,0.46,83.49,7.27
Kota Banda Aceh,2018,93.06,82.81,31.7,127.89,60.87,77.19,80.88,148.09,86.54,89.0,108.4,96.85,259.48,87.86,51.55,132.27,178.19,17.43,5.5,0.36,73.57,5.52
Kota Banda Aceh,2019,92.6,29.52,51.04,142.44,61.59,51.67,93.28,175.4,64.73,89.0,60.52,264.54,264.69,169.35,252.67,128.65,149.56,15.94,8.4,0.31,68.96,6.05
Kota Banda Aceh,2020,97.36,58.7,34.77,107.83,68.51,69.25,90.38,171.14,95.26,64.52,54.47,254.77,237.09,200.45,287.09,178.02,174.29,18.31,6.31,0.32,77.83,6.83
Kota Banda Aceh,2021,102.5,83.44,49.04,165.62,93.72,67.32,72.74,135.43,69.44,266.54,296.93,185.2,159.8,195.43,72.83,285.17,216.85,14.55,5.2,0.4,82.69,5.95
Kota Banda Aceh,2022,81.18,72.27,35.37,119.55,74.24,66.84,111.08,208.16,76.29,200.28,156.94,227.56,202.64,150.37,90.36,61.95,53.19,14.5,9.1,0.46,64.66,4.39
Kota Banda Aceh,2023,115.08,97.74,70.87,173.29,82.99,91.8,106.69,271.82,80.65,227.02,146.08,128.59,90.09,134.52,290.19,138.06,267.89,17.91,3.05,0.4,70.44,5.08
Kota Banda Aceh,2024,67.16,50.23,58.26,139.33,91.09,102.13,81.78,236.5,87.31,55.15,219.91,167.79,218.41,81.71,184.39,264.14,161.68,19.44,4.76,0.4,67.52,6.82
Kota Sabang,2014,25.27,15.74,8.25,35.77,29.95,19.46,17.97,46.76,71.69,292.48,104.56,255.41,94.81,147.94,53.55,149.01,135.74,19.78,4.69,0.43,79.04,4.24
Kota Sabang,2015,28.06,14.09,13.25,42.75,24.93,17.7,29.8,42.88,78.91,258.11,287.49,164.82,223.49,90.67,114.41,99.79,84.56,7.8,3.29,0.42,76.94,4.33
Kota Sabang,2016,24.73,11.88,13.45,35.56,27.66,22.68,31.68,37.21,69.0,103.08,246.59,139.45,107.4,233.59,162.49,156.2,159.87,10.12,3.79,0.48,81.93,2.57
Kota Sabang,2017,28.83,22.88,13.5,43.93,21.57,18.98,32.95,66.01,84.38,95.46,72.35,173.55,79.39,102.21,223.23,146.39,174.08,14.5,5.37,0.37,78.15,7.49
Kota Sabang,2018,38.37,26.02,16.69,42.38,23.62,38.6,32.66,41.04,85.51,95.85,154.4,257.06,91.32,64.64,233.29,278.85,150.91,6.52,7.64,0.3,64.02,2.55
Kota Sabang,2019,33.58,22.87,12.15,53.84,24.56,26.31,34.67,65.49,66.45,126.06,269.78,133.8,50.5,188.09,298.86,240.48,219.67,17.74,7.6,0.41,62.34,5.89
Kota Sabang,2020,24.87,14.63,19.39,47.04,37.19,32.07,35.28,59.08,100.0,181.19,286.18,93.44,229.68,198.81,121.88,176.28,155.22,13.65,6.45,0.34,78.06,4.48
Kota Sabang,2021,20.23,22.62,11.62,58.06,38.58,37.81,27.05,40.1,73.99,157.99,166.85,228.0,233.1,267.98,184.56,297.09,290.35,18.92,6.0,0.49,84.09,4.43
Kota Sabang,2022,31.89,21.8,22.8,57.08,28.81,38.35,47.7,83.56,91.08,122.81,203.35,256.49,178.73,194.25,183.33,166.32,199.82,13.55,3.68,0.42,84.75,6.08
Kota Sabang,2023,29.93,27.15,17.15,53.16,33.56,26.8,25.5,71.32,69.36,202.96,91.76,75.16,90.34,136.37,151.41,64.56,251.87,17.15,9.07,0.48,72.78,2.4
Kota Sabang,2024,42.37,27.09,20.05,65.87,44.53,31.52,32.41,51.55,68.83,84.87,297.79,109.97,70.89,250.75,92.29,115.57,77.34,13.67,3.25,0.39,73.57,5.56
Kota Langsa,2014,42.73,22.28,37.78,97.86,46.73,63.11,73.39,100.82,70.35,123.04,107.92,85.49,54.78,185.07,294.36,159.02,149.32,14.34,3.6,0.31,73.28,6.63
Kota Langsa,2015,71.45,53.5,43.11,109.8,57.73,78.33,55.45,125.58,72.98,141.59,285.68,136.99,91.44,69.82,263.33,89.23,134.21,6.18,3.18,0.49,80.9,6.97
Kota Langsa,2016,65.63,31.36,26.94,104.82,72.17,79.87,77.34,119.25,82.49,164.02,212.41,162.59,272.71,191.46,174.58,286.89,192.37,19.32,8.17,0.41,75.29,3.02
Kota Langsa,2017,58.74,40.3,41.38,94.84,52.55,49.25,49.0,174.71,100.0,246.29,201.93,237.21,110.38,277.0,200.81,241.71,265.28,15.55,6.32,0.32,72.29,7.38
Kota Langsa,2018,58.06,46.22,34.61,129.46,80.92,51.73,68.03,160.93,100.0,99.92,178.17,212.79,138.57,149.08,106.82,117.07,69.58,12.55,9.0,0.43,64.07,5.94
Kota Langsa,2019,76.35,24.48,36.86,136.68,73.24,64.53,76.39,135.58,87.68,178.56,107.67,205.23,76.34,124.08,185.95,197.7,68.14,13.18,9.59,0.38,84.03,7.29
Kota Langsa,2020,71.69,34.13,33.0,120.99,65.61,100.9,64.22,158.15,65.45,198.1,94.13,138.09,105.59,85.87,223.74,230.36,262.58,17.67,3.16,0.46,67.05,4.91
Kota Langsa,2021,83.69,55.68,46.3,134.9,88.95,63.24,58.08,172.69,64.58,61.61,105.12,260.36,179.81,87.86,178.79,285.32,103.21,17.1,9.93,0.38,69.3,5.25
Kota Langsa,2022,85.2,90.92,59.05,154.36,111.26,111.5,70.1,241.8,78.45,201.89,96.61,167.82,201.94,158.19,297.57,270.41,217.19,12.58,8.79,0.36,82.39,7.51
Kota Langsa,2023,58.26,81.0,31.45,133.68,112.4,112.43,90.69,188.11,96.88,92.63,244.9,294.78,111.34,198.92,202.84,178.8,185.72,11.73,5.05,0.37,76.81,7.4
Kota Langsa,2024,122.67,88.3,37.36,170.79,72.41,106.1,98.7,258.51,76.49,66.26,137.53,208.54,64.43,70.15,142.74,243.66,258.22,10.26,3.82,0.33,79.04,4.69
Kota Lhokseumawe,2014,59.33,65.73,29.36,154.44,93.38,59.18,59.37,217.45,65.64,287.22,64.46,81.57,147.76,284.89,243.04,190.54,81.27,10.61,5.59,0.46,83.68,3.65
Kota Lhokseumawe,2015,103.56,51.75,32.0,164.02,92.04,84.12,112.59,131.26,63.77,291.41,292.28,219.04,108.55,238.78,92.62,188.18,82.45,12.39,3.08,0.39,61.41,4.36
Kota Lhokseumawe,2016,64.48,66.31,50.37,149.06,113.21,79.33,74.18,215.63,91.53,252.1,270.95,131.28,104.89,196.66,146.13,78.69,189.2,8.35,9.74,0.3,84.25,4.33
Kota Lhokseumawe,2017,110.51,60.06,58.23,121.19,90.8,115.08,89.01,190.44,62.29,126.15,281.94,221.58,289.97,257.11,136.74,81.53,286.59,15.44,6.18,0.43,74.61,3.72
Kota Lhokseumawe,2018,74.17,55.4,69.18,205.05,103.27,114.94,90.62,168.58,90.82,74.42,298.73,67.41,204.08,70.05,157.95,182.38,153.75,11.96,5.47,0.42,61.94,3.61
Kota Lhokseumawe,2019,151.35,91.3,58.53,175.99,138.21,128.38,88.59,291.22,92.07,221.06,93.47,93.72,189.22,169.21,245.44,117.22,131.74,17.34,9.65,0.45,75.34,7.17
Kota Lhokseumawe,2020,134.4,94.99,36.34,140.91,95.71,125.9,138.19,159.99,75.96,160.04,149.06,263.93,153.94,207.52,171.04,55.26,201.67,13.91,5.67,0.49,81.05,2.42
Kota Lhokseumawe,2021,119.93,74.7,51.99,167.92,152.27,148.04,163.3,326.09,98.54,80.51,239.56,106.79,157.24,257.16,248.5,230.71,282.61,13.33,8.38,0.49,81.24,6.07
Kota Lhokseumawe,2022,101.51,44.03,68.38,182.39,85.98,116.99,113.24,190.1,75.14,173.79,224.01,259.26,185.23,245.87,194.12,58.12,259.23,6.7,7.7,0.4,79.31,3.04
Kota Lhokseumawe,2023,148.09,84.1,62.4,230.0,112.21,90.67,82.25,280.66,76.0,58.6,88.47,119.82,224.11,119.27,135.52,198.82,298.87,14.3,7.93,0.34,63.41,4.07
Kota Lhokseumawe,2024,89.34,72.1,46.05,161.24,125.96,89.19,100.15,235.98,95.01,277.33,253.96,210.72,225.54,285.22,252.49,184.8,55.64,10.95,7.35,0.47,83.74,2.37
Kota Subulussalam,2014,19.31,9.81,9.44,38.57,19.32,17.2,21.14,32.1,95.49,114.69,106.11,223.54,92.92,81.09,109.57,292.2,78.21,6.14,3.9,0.33,63.8,3.62
Kota Subulussalam,2015,21.84,9.07,8.95,38.55,19.62,22.19,15.6,31.73,65.41,215.63,105.95,178.16,175.03,268.78,106.1,171.05,202.37,5.61,4.18,0.36,64.43,6.61
Kota Subulussalam,2016,15.24,13.06,8.2,32.15,20.44,22.98,14.13,48.93,91.5,127.93,184.24,126.33,152.99,292.74,176.13,65.9,255.14,14.42,3.57,0.47,83.02,7.31
Kota Subulussalam,2017,17.7,18.1,12.12,30.28,16.76,19.0,20.58,44.86,92.33,180.02,198.23,103.16,267.63,94.29,115.21,187.92,121.31,10.53,6.24,0.45,60.92,3.33
