Kota,Tahun,DBH_PAJAK,DBH_SDA,DBH_Lainnya,DAU_Block_Grant,DAU_Earmark,DAK_Fisik,DAK_Nonfisik,PAD,ICT,KEMISKINAN (%),PENGANGGURAN (%),KETIMPANGAN,IPM
Kota Banda Aceh,2014,77.91,49.42,26.0,96.98,47.59,83.94,72.02,153.66,74.98,5.31,9.79,0.47,65.31
Kota Banda Aceh,2015,54.88,37.29,35.35,112.77,59.88,74.74,52.84,119.84,89.84,10.5,6.19,0.46,64.99
Kota Banda Aceh,2016,78.91,27.08,39.83,107.56,52.78,96.58,97.41,179.24,66.83,9.57,3.68,0.44,71.0
Kota Banda Aceh,2017,72.77,26.01,46.46,109.93,80.91,63.84,73.98,150.55,64.48,7.77,9.79,0.46,83.49
Kota Banda Aceh,2018,93.06,82.81,31.7,127.89,60.87,77.19,80.88,148.09,86.54,17.43,5.5,0.36,73.57
Kota Banda Aceh,2019,92.6,29.52,51.04,142.44,61.59,51.67,93.28,175.4,64.73,15.94,8.4,0.31,68.96
Kota Banda Aceh,2020,97.36,58.7,34.77,107.83,68.51,69.25,90.38,171.14,95.26,18.31,6.31,0.32,77.83
Kota Banda Aceh,2021,102.5,83.44,49.04,165.62,93.72,67.32,72.74,135.43,69.44,14.55,5.2,0.4,82.69
Kota Banda Aceh,2022,81.18,72.27,35.37,119.55,74.24,66.84,111.08,208.16,76.29,14.5,9.1,0.46,64.66
Kota Banda Aceh,2023,115.08,97.74,70.87,173.29,82.99,91.8,106.69,271.82,80.65,17.91,3.05,0.4,70.44
Kota Banda Aceh,2024,67.16,50.23,58.26,139.33,91.09,102.13,81.78,236.5,87.31,19.44,4.76,0.4,67.52
Kota Sabang,2014,25.27,15.74,8.25,35.77,29.95,19.46,17.97,46.76,71.69,19.78,4.69,0.43,79.04
Kota Sabang,2015,28.06,14.09,13.25,42.75,24.93,17.7,29.8,42.88,78.91,7.8,3.29,0.42,76.94
Kota Sabang,2016,24.73,11.88,13.45,35.56,27.66,22.68,31.68,37.21,69.0,10.12,3.79,0.48,81.93
Kota Sabang,2017,28.83,22.88,13.5,43.93,21.57,18.98,32.95,66.01,84.38,14.5,5.37,0.37,78.15
Kota Sabang,2018,38.37,26.02,16.69,42.38,23.62,38.6,32.66,41.04,85.51,6.52,7.64,0.3,64.02
Kota Sabang,2019,33.58,22.87,12.15,53.84,24.56,26.31,34.67,65.49,66.45,17.74,7.6,0.41,62.34
Kota Sabang,2020,24.87,14.63,19.39,47.04,37.19,32.07,35.28,59.08,100.0,13.65,6.45,0.34,78.06
Kota Sabang,2021,20.23,22.62,11.62,58.06,38.58,37.81,27.05,40.1,73.99,18.92,6.0,0.49,84.09
Kota Sabang,2022,31.89,21.8,22.8,57.08,28.81,38.35,47.7,83.56,91.08,13.55,3.68,0.42,84.75
